Ordem Apresentação;Regiao_mun;Estado_mun;Municipio_mun;TamanhodoMunicipio_mun;COD_municipio_mun;COD_UF_mun;POP_Feminina_2019_mun;POP_Feminina_2020_mun;POP_Feminina_2021_mun;POP_Feminina_2022_mun;POP_Feminina_2023_mun;POP_Feminina_2024_mun;POP_Elegivel_MAMA_2019_mun;POP_Elegivel_MAMA_2020_mun;POP_Elegivel_MAMA_2021_mun;POP_Elegivel_MAMA_2022_mun;POP_Elegivel_MAMA_2023_mun;POP_Elegivel_MAMA_2024_mun;Mamografias_2018_mun;Mamografias_2019_mun;Mamografias_2020_mun;Mamografias_2021_mun;Mamografias_2022_mun;Mamografias_2023_mun;Mamografias_2024_mun;Histo_Mama_2019_mun;Histo_Mama_2020_mun;Histo_Mama_2021_mun;Histo_Mama_2022_mun;Histo_Mama_2023_mun;Histo_Mama_2024_mun;Histo_Alterado_Mama_2019_mun;Histo_Alterado_Mama_2020_mun;Histo_Alterado_Mama_2021_mun;Histo_Alterado_Mama_2022_mun;Histo_Alterado_Mama_2023_mun;Histo_Alterado_Mama_2024_mun;Cancer_Mama_2019_mun;Cancer_Mama_2020_mun;Cancer_Mama_2021_mun;Cancer_Mama_2022_mun;Cancer_Mama_2023_mun;Cancer_Mama_2024_mun;tratamento_mama_2019_mun;tratamento_mama_2020_mun;tratamento_mama_2021_mun;tratamento_mama_2022_mun;tratamento_mama_2023_mun;tratamento_mama_2024_mun;Categoria_0_2019_mun;Categoria_0_2020_mun;Categoria_0_2021_mun;Categoria_0_2022_mun;Categoria_0_2023_mun;Categoria_0_2024_mun;Categoria_1_2019_mun;Categoria_1_2020_mun;Categoria_1_2021_mun;Categoria_1_2022_mun;Categoria_1_2023_mun;Categoria_1_2024_mun;Categoria_2_2019_mun;Categoria_2_2020_mun;Categoria_2_2021_mun;Categoria_2_2022_mun;Categoria_2_2023_mun;Categoria_2_2024_mun;Categoria_3_2019_mun;Categoria_3_2020_mun;Categoria_3_2021_mun;Categoria_3_2022_mun;Categoria_3_2023_mun;Categoria_3_2024_mun;Categoria_4_2019_mun;Categoria_4_2020_mun;Categoria_4_2021_mun;Categoria_4_2022_mun;Categoria_4_2023_mun;Categoria_4_2024_mun;Categoria_5_2019_mun;Categoria_5_2020_mun;Categoria_5_2021_mun;Categoria_5_2022_mun;Categoria_5_2023_mun;Categoria_5_2024_mun;Categoria_6_2019_mun;Categoria_6_2020_mun;Categoria_6_2021_mun;Categoria_6_2022_mun;Categoria_6_2023_mun;Categoria_6_2024_mun;obitos_2019;obitos_2020;obitos_2021;obitos_2022;obitos_2023;media_2023_2024;cobertura_2019;cobertura_2020;cobertura_2021;cobertura_2022;cobertura_2023;cobertura_2024;prop_alt_2019;prop_alt_2020;prop_alt_2021;prop_alt_2022;prop_alt_2023;prop_alt_2024;taxa_det_2019;taxa_det_2020;taxa_det_2021;taxa_det_2022;taxa_det_2023;taxa_det_2024;taxa_mort_2019;taxa_mort_2020;taxa_mort_2021;taxa_mort_2022;taxa_mort_2023
1;Norte;Amazonas;Tabatinga - AM;Médio;1304062;13;32698;33383;34017;34651;35279;35910;3112;3242;3366;3501;3662;3822;16;20;10;11;11;30;32;;;;;;2;;;;;;1;;;;;;1;2;3;2;1;;;2;1;1;1;4;4;4;5;2;6;6;4;10;2;7;2;19;23;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;;1;;1;2;3742;1,15681233933162;0,925354719309069;0,623885918003565;0,628391888031991;1,1196067722556;1,62218733647305;15;20;18,1818181818182;18,1818181818182;13,3333333333333;15,625;;;;;;31,25;;2,995537;;2,88592;5,669095
2;Norte;Amazonas;Benjamin Constant - AM;Pequeno;1300607;13;18981;19168;19329;19504;19671;19849;1713;1770;1821;1876;1935;1992;2758;9;7;9;6;9;18;;;;;;;;;;;;;;;;;;;;2;;;;;1;3;2;0;0;1;2;2;2;5;1;4;6;2;5;1;7;11;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;1;1;;;1963,5;161,529480443666;0,903954802259887;0,878638110928062;0,799573560767591;0,775193798449612;1,35542168674699;11,1111111111111;42,8571428571429;22,2222222222222;0;11,1111111111111;11,1111111111111;;;;;;;;5,217028;5,173573;;
3;Norte;Pará;Cametá - PA;Médio;1502103;15;66940;67484;67990;68466;68932;69439;7763;8007;8243;8503;8804;9119;14;231;86;74;114;153;195;9;5;9;24;22;30;7;2;4;12;6;13;7;2;4;11;6;13;7;10;19;5;;;48;15;7;24;20;32;89;42;35;44;49;59;85;27;30;41;72;92;4;1;0;0;4;6;2;1;1;3;4;2;0;0;0;0;0;0;1;0;0;0;0;0;6;4;4;5;3;8961,5;3,15599639314698;3,95903584363682;1,9410408831736;2,21098435846172;3,03271240345298;3,81620791753482;21,6450216450216;18,6046511627907;10,8108108108108;23,6842105263158;15,6862745098039;17,4358974358974;30,3030303;23,255814;54,0540541;96,4912281;39,2156863;66,6666667;8,963251;5,927331;5,883218;7,302895;4,352115
4;Norte;Pará;Mocajuba - PA;Pequeno;1504604;15;14039;14059;14070;14083;14096;14106;1657;1707;1754;1805;1866;1922;2428;72;52;59;76;61;65;4;2;4;2;10;8;;1;2;;4;3;;1;2;;4;3;;;4;3;;;6;8;6;13;14;18;46;16;14;22;23;24;17;22;36;32;22;18;0;1;1;1;1;2;3;3;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;1894;150,875075437538;7,26420620972466;6,32839224629418;7,4792243767313;7,34190782422294;6,55567117585848;12,5;21,1538461538462;10,1694915254237;22,3684210526316;24,5901639344262;29,2307692307692;;19,2307692;33,8983051;;65,5737705;46,1538462;;;;;
5;Norte;Tocantins;Araguaína - TO;Médio;1702109;17;88095;89173;90140;90993;91854;92719;12880;13394;13882;14386;14928;15482;470;1439;1501;1498;1007;271;232;65;40;34;20;76;74;25;15;23;10;24;24;25;15;23;10;23;24;57;35;48;35;;;170;177;248;91;32;33;679;678;562;70;20;36;555;623;662;801;191;153;12;5;1;5;3;0;1;1;6;7;5;6;3;3;1;2;1;0;2;0;1;0;0;0;12;10;16;18;12;15205;14,8214285714286;21,9501269225026;21,6035153436104;17,4127624078966;8,56109324758842;3,24893424622142;12,0917303683113;12,0586275816123;17,022696929239;9,9304865938431;14,0221402214022;16,8103448275862;17,3731758;9,9933378;15,3538051;9,9304866;84,8708487;103,4482759;13,621658;11,214157;17,750166;19,781741;13,064211
6;Norte;Tocantins;Darcinópolis - TO;Pequeno;1706506;17;2825;2858;2879;2899;2917;2944;427;441;451;461;472;486;58;34;30;22;20;23;8;1;;;1;;2;;;;;;1;;;;;;1;1;;;;1;;1;4;1;2;2;0;16;11;9;1;0;2;16;15;12;17;20;6;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;479;21,5456674473068;14,5124716553288;11,529933481153;9,11062906724512;9,11016949152542;6,37860082304527;5,88235294117647;13,3333333333333;4,54545454545455;10;8,69565217391304;0;;;;;;125;;;;;
7;Nordeste;Maranhão;Chapadinha - MA;Médio;2103208;21;41300;41612;41889;42135;42375;42662;5859;5994;6121;6254;6401;6556;47;194;503;701;840;403;202;9;11;12;13;14;14;2;5;5;5;3;4;;5;4;3;3;4;8;7;10;10;10;;45;181;304;310;150;33;56;90;87;144;66;48;89;222;299;359;182;111;1;2;2;1;0;4;1;0;2;5;0;3;0;1;0;2;0;0;0;1;2;3;2;3;5;5;5;4;;6478,5;4,11332991978153;11,6282949616283;19,6699885639601;24,6402302526383;19,418840806124;9,22818791946309;23,7113402061856;36,182902584493;43,6519258202568;37,7380952380952;37,2208436724566;17,8217821782178;;9,9403579;5,7061341;3,5714286;7,4441687;19,8019802;12,106538;12,015765;11,936308;9,493295;
8;Nordeste;Maranhão;São Bernardo - MA;Pequeno;2110609;21;13941;13949;13949;13941;13928;13920;1987;2026;2064;2102;2152;2205;1511;19;62;101;54;44;31;;;2;3;1;2;;;;;1;1;;;;;1;1;;;;1;1;;6;12;39;17;4;2;3;13;17;9;12;11;8;36;42;26;27;15;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;;1;2;1;;2178,5;77,0005032712632;3,99802566633761;7,89728682170543;7,37392959086584;4,55390334572491;3,40136054421769;31,5789473684211;19,3548387096774;38,6138613861386;31,4814814814815;11,3636363636364;9,67741935483871;;;;;22,7272727;32,2580645;;7,168973;14,337945;7,173087;
9;Nordeste;Ceará;Iguatu - CE;Médio;2305506;23;52495;52763;52963;53106;53261;53418;10136;10344;10526;10717;10929;11142;564;2207;1128;1280;1498;1690;1262;4;5;7;12;18;18;1;3;5;2;14;10;1;2;5;2;14;10;33;41;30;29;;;517;268;407;488;335;181;187;32;47;32;21;9;1436;774;793;950;1299;1045;20;19;6;7;7;2;11;8;2;8;6;8;2;1;3;0;2;1;0;0;0;1;6;3;10;16;7;8;10;11035,5;27,3382004735596;32,2409126063418;22,876686300589;25,9214332369133;29,1700979046573;26,4943457189015;24,0144993203444;24,5567375886525;32,1875;33,1108144192256;20,2958579881657;15,0554675118859;0,4531038;1,7730496;3,90625;1,3351135;8,2840237;7,9239303;19,049433;30,32428;13,216774;15,064211;18,775464
10;Nordeste;Ceará;Catarina - CE;Pequeno;2303600;23;6054;5764;5487;5248;5028;4842;1231;1182;1135;1098;1064;1044;25;22;138;14;163;21;28;;;1;;;2;;;1;;;;;;1;;;;4;1;3;3;;;5;6;2;7;0;2;14;92;4;127;13;8;3;40;7;28;8;18;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;;;1;2;1054;3,81803411860276;13,5363790186125;13,3920704845815;16,120218579235;17,2932330827068;4,69348659003831;22,7272727272727;4,34782608695652;14,2857142857143;4,29447852760736;0;7,14285714285714;;;71,4285714;;;;33,036009;;;19,054878;39,777247
